"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Floresta","37123.80366026666","36430.68784031947","35035.998978362855","34417.289367370955","33711.85757163145","33602.633138708996","34474.62280199045","34032.9305294987","33275.63617467681","31434.775251306244","31733.767718414314","31650.718632489046","31537.45410448617","30053.612033648707","29338.83314531841","29638.56787809459","28817.58234694825","27853.616212402463","28779.88120889301","28845.8756147646","28944.198883374167","29187.475217236373","29120.054594134548","28589.589835327337","28442.690283941804","28530.83738735966","28433.76641077308","27968.65373090234","27806.38418533356","27408.885169970956","26937.970943316825","26792.75867425543","26824.106898266713","26450.19252772822","26376.51588819587","26485.830300652953","25649.57981500871","24840.305292547826"
"2. Formação Natural não Florestal","4786.12038168338","4094.2294751098716","3542.5661295410196","3567.215395782478","3392.0799178466864","3205.959313134769","3146.032743945311","3449.86818309326","3229.0028563903734","2992.7775679016095","2899.539046948239","3040.117072979735","2793.4432606262144","2883.2003469238257","2696.2739940917927","2560.6139683776782","2569.810877038569","2637.2387519470167","2569.3639681335435","2483.0956314270015","2459.9647658752406","2389.141210174557","2323.498851361083","2345.7365054565435","2269.825147570803","2180.515862469482","2164.8860443115227","2124.1634463745104","1934.3835679748502","1887.3184546752914","1906.4297684082","1885.1753325561492","1865.6170711242607","1853.380571874996","1961.707090747066","1976.9761929687475","1863.4712793212814","1183.654403173822"
"3. Agropecuária","5303.408913360563","5784.595048858612","7185.271769812016","7207.392822302285","7983.736313836688","8012.758906750512","7016.271383203161","6822.165222644092","7682.6118708924905","9702.184763873282","9261.364153582816","8505.354502972474","8381.679637817517","9270.900928985688","9813.053209204221","9528.051045837574","10246.780879773101","10880.57378875754","9798.463614422775","9695.851907684504","9421.499737677159","9043.639160138086","8884.299518084874","9096.651304162715","9000.726631884858","8560.798944897548","8321.45047665418","8574.633429596068","8822.456460040437","8921.679694543582","9242.114548693951","9220.502265057534","9030.544036291636","9181.104168664706","9042.23170424203","8780.114155310208","9483.66716294565","10588.482420697173"
"4. Área não Vegetada","6191.087990454045","7120.357562212987","7522.606626568442","8048.374336352381","8363.100395104819","8825.008097741567","9050.070603991582","9406.057786382933","9628.529047888043","9745.793978704693","10010.779090240318","10672.553252618267","11178.938610272073","11569.129498095535","11837.953423260364","12396.574459020845","12540.806926983558","12750.774404778918","12953.057753796276","13128.725609307692","13315.563152453502","13504.271397051902","13785.509096374482","14085.137388775553","14437.09414690546","14788.080598913439","15151.7419935241","15545.138230401606","15732.594012036066","16072.758554199077","16148.846554638541","16389.975922039703","16614.9389802001","16779.889851763786","16927.60226928089","16995.390508807257","17266.503848980487","17680.96554321281"
"5. Corpo D`água","4902.709473394784","4876.903279113758","5020.419000537109","5066.501286914083","4856.266905822768","4660.860257000753","4619.954271484392","4595.930075006113","4491.350471514916","4431.598853088399","4401.769711901879","4438.208335974146","4415.525504803478","4529.75177326052","4620.838049951208","4182.8765549316395","4132.0600879821695","4183.676892962645","4198.504430322259","4152.063327716054","4165.99317395629","4182.871347546382","4194.036265515128","4190.193992333981","4156.972810089115","4247.076230828865","4226.800794451916","4092.5767434875524","4010.508381292728","4016.577847741697","4071.947205303949","4019.075442236331","3972.1913568969667","4042.8312002563544","3999.4306869506813","4069.2657916870153","4044.354843170177","4014.1692897949097"
"6. Não observado","0.4465302673339844","0.8037438110351562","0.7144446044921875","0.8037407043457031","0.5358451843261719","0.35723609008789065","0.6251448120117188","0.6251528015136719","0.4465280639648437","0.4465345520019532","0.35722833862304687","0.6251523925781249","0.5358314208984374","0.9823685119628907","0.6251276000976562","0.8930431640625001","0.5358307006835937","1.6968985778808592","8.305973858642583","1.964858526611328","0.35723609008789065","0.17861727905273436","0.17862395629882813","0.26792337036132813","0.2679290344238281","0.2679249572753906","8.931229711914062","2.4113686645507815","1.2503427490234376","0.3572282958984375","0.2679290649414062","0.08931328125","0.17860664672851564","0.17862913818359377","0.089310009765625","","",""
