"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Floresta","63930.94913169599","61835.78535088464","59068.448232629074","58360.705660522784","56850.63134586849","56496.32255701944","58411.13596424019","57317.637096344464","55206.44215570082","50613.840459881634","51482.557382763654","51745.70122919297","50374.56904244995","46770.43334835822","45550.936901031404","46474.70745804458","44807.85503673707","42185.71609499526","43807.72427623312","44402.80246106592","44903.3900367922","45984.06617586677","45869.30854473885","44605.05225170315","44391.97509433619","44715.54637868056","44865.159362390565","44040.382089654886","43229.07708496132","42282.03391356227","41348.48043433242","40986.8599269837","41170.84719074719","40684.31475053708","40667.086697100895","40965.03497949203","40187.82297052628","39450.711254992864"
"2. Formação Natural não Florestal","5972.762302032504","5377.162724798593","4808.7990669677765","4812.638442852788","4748.970721978757","4566.24567617187","4421.11042103881","4705.827601824948","4546.769736541734","4485.692723547352","4292.332833789052","4406.651555877679","4208.7438708068785","4332.886636322017","4157.750453070054","3982.973496514877","4004.5862927734247","4360.685635382074","4147.760929785146","3989.502430615227","3937.3439385253796","3762.823291882314","3798.1992944580015","3898.9442492614667","3824.9091054321243","3619.5780039916926","3512.6658223388613","3385.7529437988223","3158.1922221496498","3118.808527935784","3185.883091198721","3153.82154570312","3172.313009680165","3211.1637068054106","3413.8950415466197","3500.171342761219","3294.4935537231318","2192.656102502437"
"3. Agropecuária","11615.053480090279","12691.790487017759","15019.530171685761","14757.086685559072","16245.003051324342","16486.42075219715","14475.872958410577","14668.67049037469","16744.312282440093","21233.302249957254","20225.17110114142","18758.034089678917","19521.57748341692","22064.06736420903","22658.287903363125","21545.530324017494","23045.55386153583","24829.855526727475","22976.177858191142","22404.951717126616","21620.002019067564","20342.761203668357","19938.16745210585","20560.101965838654","20352.446334631495","19193.203580389647","18293.656788726894","18698.672772454993","19177.817974609614","19709.675354242114","20295.188291461407","20360.391055890053","19806.030608709945","19689.35900543235","19195.64198524796","18664.508860571565","19289.01864877322","20381.069421515047"
"4. Área não Vegetada","7049.428083300731","8579.228656225441","9299.425872106776","10175.210551013039","10540.132677618252","11128.150212286251","11434.04049663074","11950.434544897334","12272.492131390245","12537.213905041375","12881.864524273535","13995.1237335875","14889.66732898548","15712.139245220775","16347.956587750095","17370.296058141896","17616.256290521116","18129.980449804498","18455.33491683944","18656.723747564487","18989.31845304551","19292.436413445925","19827.76997608028","20365.150979730126","20920.829971649164","21842.07768204931","22708.750208062527","23432.341048266477","24079.843951599058","24487.437477001753","24682.933816967587","25050.438777136034","25420.353681506178","25907.90424995707","26248.441947588988","26370.083956738144","26719.25453315404","27368.699102490173"
"5. Corpo D`água","7043.059407299831","7126.4813998657355","7415.317057971205","7505.789760241737","7227.765066272003","6934.917042083782","6869.985775842326","6969.665185656764","6841.772008996618","6742.274880139205","6730.219738989307","6706.724307159464","6616.605375573753","6730.832758642616","6896.409928826963","6224.793960809331","6124.85359834594","6095.814998394776","6203.622512908938","6143.517074237048","6149.8544661498945","6216.839313531494","6167.71411601562","6171.820609448239","6110.998844183352","6228.342096008308","6202.1714315307745","6038.8304225158745","5952.387563208014","5999.542070910644","6086.262121270749","6047.950983795172","6028.667371661377","6103.415868927015","6072.878214190681","6099.663153320324","6122.181056158473","6219.724196624777"
"6. Não observado","5.001758764648438","5.805544390869141","4.7337618225097655","4.823062994384766","3.751300122070313","4.197923425292969","4.108547021484376","4.0192440856933604","4.465848114013671","3.929944616699219","4.1085822265625005","4.019247686767578","5.091061950683594","5.894810430908203","4.912389141845703","17.952865655517584","17.149083270263684","14.201457879638673","25.63366922607422","18.756732574462887","16.345249603271487","17.327764788818353","15.094779785156247","15.18410720214844","15.094812951660156","17.50642206420897","33.850550134277334","20.274886492919922","18.935366656494132","18.756819531249988","17.50640795288085","16.791873675537097","18.04230087890624","20.096581524658195","18.31027750854492","16.791870300292953","3.483400848388672","3.3940850585937508"
