"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Floresta","3034575.3570022043","3039028.431333134","3035056.6370573263","3025349.8989564204","3022261.457204171","3017222.9820066458","3011425.546598623","3006114.9907658515","3004677.4260186935","2997341.879037484","2993305.820748168","2959497.838240814","2938565.93740564","2918316.7873028284","2897907.290568439","2878783.7993691387","2856317.564092612","2827718.8456767974","2804123.745496682","2753167.600846335","2717218.0684517673","2689985.1656053155","2673259.928166599","2640215.3440879937","2616494.32523188","2598909.5261511886","2591346.950951709","2560243.049369043","2536874.765599769","2523674.6875662757","2503786.8715420263","2490165.6184152015","2474172.041955602","2454364.8467693054","2421164.0758550586","2370901.742843734","2340651.571615264","2296945.3512370493"
"2. Formação Natural não Florestal","459186.15494339424","451903.15161985805","447745.9332966696","449993.00478590827","450018.3229936838","451234.4153806842","448558.06890522694","448945.56520112033","449687.0400825669","451070.8304593115","449521.4378044669","451057.2811468545","454454.11273131595","453652.0027006214","455525.0223668015","456562.30261786777","453224.1574584746","454676.32442023215","459891.17389443074","456821.93123314664","453221.1446806741","447596.7766016376","445687.7211006249","446012.374712295","443260.2321679761","441845.6938191539","437395.40898875555","428254.6978822535","428036.5069438807","429961.12815166917","428737.1244219325","428294.1262124877","427213.1998273998","423597.28668109124","418792.8429829409","417708.6534929824","414213.30461239384","413610.32406957116"
"3. Agropecuária","244657.8318849805","245053.3292883751","253794.5410861905","264242.6982560434","264250.54370844783","269517.94613314985","282586.4917491907","290552.5867970847","295958.1273499185","299782.01869598805","305328.6770924563","337600.5417761951","353711.110012723","374781.22711538133","392524.8130304087","409402.8848131545","433650.57305531524","460038.45798321225","476009.2393918525","531277.0977849131","568250.0551496018","605520.3396095233","628691.1164728336","657863.2699349779","680604.6865482251","700510.1417662511","717304.8777288469","764654.5974463214","784121.3059369228","792424.8444443563","816533.0605533133","830393.2798097337","846133.40142053","867935.1785578177","902792.4987542923","955181.6827375138","991358.022615706","1033137.0970712033"
"4. Área não Vegetada","21412.854505920266","23273.410422735316","22775.255683465442","19769.35652426745","22807.34220092164","21330.848122387753","16503.716789300568","13636.238232720974","9058.688671972688","11226.95023912354","11673.230497167959","11670.7569293701","13302.20235416258","13494.595511688203","14244.438958520484","16053.76137119144","17651.810716436783","18426.82057523792","20888.264638128567","19738.11093219607","22324.818557727078","17958.328975274613","13407.339951220689","16858.162995379655","20548.085783898976","19861.443311847033","15155.399660076951","8152.451345404073","12449.68406659545","15441.130058807323","12504.977859997558","12758.752784307884","14160.469415661626","15712.213816796899","18865.972127270514","17816.32153113401","15285.199308190877","17455.523895532147"
"5. Corpo D`água","3863.1192733398448","4436.994945739745","4322.950486163326","4340.359087158199","4357.6515025634735","4389.12596690063","4621.49356743164","4445.936612976073","4314.035486584471","4273.639177819823","3866.1514674865703","3868.899516516112","3661.9551058959964","3450.7049792114253","3493.7526855407723","2892.569438354491","2851.2122868652336","2834.868954187011","2782.8941886108373","2690.576813128663","2681.230769940186","2634.7068179809576","2649.2119184631347","2746.1658791320788","2787.9878778259254","2568.512561334227","2492.680280358886","2390.521566748045","2213.0550625793444","2193.527388635252","2133.2832324462875","2083.5403880004865","2016.2049905578592","2085.7917847351046","2079.927890173338","2086.917004412839","2187.2194582397424","2547.0213364257784"
"6. Não observado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
